org,taigigo
放胆,細心
最悪,最善
最後列,最前列
最少,最多
最下,最上
独身,妻帯
最小,最大
最小限,最大限
最安値,最高値
最長,最短
社団,財団
鈍物,才物
大別,細別
歳旦,歳末
粗大,細密
無銘,在銘
外来種,在来種
新幹線,在来線
最悪,最良
陶器,磁器
誕生,死去
凪,時化
反応,刺激
外国語,自国語
他人資本,自己資本
原罪,自罪
代作,自作
経験的,思索的
他殺,自殺
負債,資産
虚構,事実
本社,支社
弟子,師匠
生者,死者
煽る,鎮める
人工,自然
他薦,自薦
事後,事前
散漫,集中
到着,出発
絶版,出版
脇役,主役
提出,受領
蓄積,消耗
公費,私費
共存共栄,弱肉強食
秋分,春分
逆風,順風
降格,昇格
敗者,勝者
下車,乗車
下馬,乗馬
下降,上昇
低下,上昇
末席,上席
緘黙,饒舌
拒絶,承諾
点灯,消灯
下等,上等
興隆,衰亡
覚醒,睡眠
濁る,澄む
ざらざら,すべすべ
淵,瀬
草案,成案
濁音,清音
不正確,正確
不義,正義
誤答,正答
不潔,清潔
無制限,制限
奇襲,正攻
粗雑,精巧
安座,正座
消費,生産
消費者,生産者
略式,正式
遅参,早参
晩産,早産
減産,増産
答辞,送辞
減資,増資
片思い,相思相愛
舵手,漕手
晩秋,早秋
減収,増収
晩成,早熟
晩熟,早熟
晩成,早成
晩春,早春
受信,送信
受信機,送信機
減水,増水
獲得,喪失
減税,増税
減配,増配
粛然,騒然
模倣,創造
差損,差益
鈍る,冴える
衰える,栄える
順手,逆手
従う,逆らう
場末,盛り場
明日,昨日
右傾,左傾
右舷,左舷
増加,削減
追加,削減
増補,削除
添加,削除
付加,削除
重大,些細
叫ぶ,囁く
開国,鎖国
離礁,座礁
人為災害,自然災害
活用,死蔵
息女,子息
先祖,子孫
祖先,子孫
得意,失意
実害,実益
応答,質疑
就業,失業
虚業,実業
発効,失効
議決機関,執行機関
純白,漆黒
架空,実在
形式,実質
形式犯,実質犯
下品,上品
敗北,勝利
乾留,蒸留
略論,詳論
主演,助演
晩夏,初夏
終曲,序曲
食前,食後
疾行,徐行
童貞,処女
男性,女性
諸悪,諸善
男装,女装
下流,上流
抒情,叙事
本論,序論
跋文,序文
他力,自力
卵子,精子
不実,誠実
不誠実,誠実
喧噪,静寂
強靭,脆弱
未熟,成熟
肉体,精神
物質的,精神的
略装,正装
乱読,精読
乱雑,整頓
雑然,整然
不文律,成文律
裏門,正門
東洋,西洋
濁流,清流
邪論,正論
消極,積極
細則,総則
絶対的,相対的
遅着,早着
留別,送別
片方,双方
一方,双方
遅漏,早漏
助長,阻害
退位,即位
雅語,俗語
正字,俗字
正室,側室
抑制,促進
続落,続伸
実体,属性
遅筆,速筆
正面,側面
符合,齟齬
大波,細波
独房,雑居房
純系,雑種
題詠,雑詠
定収入,雑収入
斉一,雑多
名木,雑木
里子,里親
迷い,悟り
右派,左派
平等,差別
助ける,妨げる
暖まる,冷める
前後,左右
仄か,明か
反作用,作用
右腕,左腕
不参加,参加
立礼,座礼
還元,酸化
山下,山上
余寒,残暑
陳腐,斬新
衆議院,参議院
反対,賛成
産後,産前
海賊,山賊
山麓,山頂
海道,山道
縮瞳,散瞳
連発,散発
アルカリ性,酸性
乾燥,湿潤
就職,失職
理論,実戦
贅沢,質素
成功,失敗
解答,質問
回答,質問
答弁,質問
市外,市内
散文的,詩的
他動,自動
従属,支配
派手,地味
善良,邪悪
強者,弱者
貸与,借用
返済,借用
拘禁,釈放
検挙,釈放
正道,邪道
専制,自由
束縛,自由
統制,自由
美麗,醜悪
主因,従因
参院,衆院
横貫,縦貫
損失,収益
始業,終業
散開,集結
貧血,充血
解散,集合
拡大,収縮
膨張,収縮
始発,終着
依存,自立
じり高,じり貧
他律,自律
付属語,自立語
古豪,新鋭
退化,進化
停止,進行
後退,進行
天災,人災
物的,心的
物的,人的
淑女,紳士
虚偽,真実
退嬰,進取
楽勝,辛勝
旧制,新制
畏服,心服
退歩,進歩
保守的,進歩的
疎遠,親密
表層,深層
不信,信用
白昼,深夜
旧約,新約
旧訳,新訳
旧暦,新暦
広葉樹,針葉樹
退路,進路
古例,新例
新婦,新郎
アシメトリック,シンメトリック
消極的,積極的
離脱,接近
離反,接近
相対,絶対
接尾語,接頭語
撤去,設置
希望,絶望
酷評,絶賛
どん底,絶頂
卓見,浅見
漸増,漸減
悪業,善業
後刻,先刻
地方紙,全国紙
戦後,戦前
後妻,前妻
後退,前進
来世,前世
民主的,専制的
部分,全体
一部,全部
後天,先天
定時制,全日制
兼任,専任
一斑,全貌
次回,前回
初日,千秋楽
局部,全身
撤退,占領
不良,善良
悪玉,善玉
大根役者,千両役者
不鮮明,鮮明
深慮,浅慮
後輪,前輪
天井値,底値
精密,粗雑
浮動票,組織票
美食,粗食
親水,疎水
非素数,素数
遅効性,即効性
中止,続行
温和,粗暴
優雅,粗野
祖母,祖父
従う,背く
精糖,粗糖
内側,外側
内面,外面
内堀,外堀
内蓋,外蓋
大切,粗末
立派,粗末
ゲル,ゾル
ユニゾン,ソロ
マチネ,ソワレ
厳密,疎漏
侮辱,尊敬
冒涜,尊崇
卑属,尊属
卑下,尊大
無視,尊重
利益,損害
佐幕,尊皇
益友た,損友
畑,田
入会,退会
用言,体言
小器,大器
小群,大群
小規模,大規模
大凶,大吉
小義,大義
進撃,退却
小国,大国
本命,対抗
結託,対抗
小差,大差
当事者,第三者
自書,代書
大敗,大勝
耐寒,耐暑
小事ち,大事
母,父
母親,父親
母方,父方
地上,地下
成魚,稚魚
散財,蓄財
早退,遅刻
治山,治水
速効性,遅効性
名誉,恥辱
母の日,父の日
伸びる,縮む
伸ばす,縮める
強力犯,知能犯
早発,遅発
水平線,地平線
国家公務員つ,地方公務員
率先,追随
逃走,追跡
独幅,対幅
蓄える,費やす
独学,通学
住み込み,通勤
特別国会,通常国会
臨時国会,通常国会
緊急逮捕,通常逮捕
現行犯逮捕,通常逮捕
往復葉書,通常葉書
断水,通水
野暮天て,通人
足,手
地,天
高圧,低圧
高位,低位
高温,低温
高音,低音
変温動物,定温動物
高額,低額
高学年,低学年
高気圧,低気圧
不定期,定期
高級,低級
臨休,定休
普通預金,定期預金
高吟,低吟
廃棄と,締結
下校,登校
答える,問う
卑しい,尊い
反意語,同意語
不同,同一
脚韻,頭韻
異化,同化
西欧,東欧
反対語,同義語
反意語,同義語
対義語,同義語
別居,同居
異業,同業
異系,同系
他校,当校
分化,統合
分裂,統合
不動産,動産
小乗,大乗
就職,退職
小食,大食
戦戦恐恐,泰然自若
小心,大胆
小胆,大胆
体外,体内
大納会,大発会
釈放,逮捕
少量,大量
不漁,大漁
気力,体力
独話,対話
アップロード,ダウンロード
国税,地方税
中央集権,地方分権
杜撰,緻密
散漫,緻密
天変,地変
起立,着席
離任,着任
完工,着工
離陸,着陸
歳暮,中元
地方,中央
新品,中古
追従,忠告
本文,注釈
周辺,中心
特性,通性
本名,通称
異説,通説
熟読,通読
ワンピース,ツーピース
特有,通有
熟覧,通覧
異例,通例
特例,通例
各論,通論
異論,通論
離す,つかむ
永久,束の間
月初め,月末
風変わり,月並み
逓増,逓減
屈服,抵抗
随時,定時
臨時,定時
淫奔,貞淑
高所,低所
淫婦,貞女
微酔,泥酔
変数,定数
定量分析,定性分析
異説,定説
不貞,貞節
応訴,提訴
受訴,提訴
高利,低利
不等式,等式
第三国,当事国
他社,当社
和合,闘争
抄本,謄本
被治者,統治者
静脈,動脈
夏眠,冬眠
他門,同門
異質,同質
異種,同種
退場,登場
落選,当選
静的,動的
句点,読点
非番,当番
起こす,倒す
益荒男,手弱女
鳩派,鷹派
自国,他国
一神教,多神教
悪筆,達筆
身内,他人
自分,他人
駿馬,駄馬
無勢,多勢
寡黙,多弁
閑暇,多忙
すわる,立つ
奪取,奪還
起稿,脱稿
染色,脱色
加入,脱退
逆臣,忠臣
末梢,中枢
持続,中絶
解毒,中毒
勧善,懲悪
短調,長調
祝電,弔電
短髪,長髪
麓,頂上
短身,長身
応戦,挑戦
圧力,張力
長男,長女
褒賞,懲罰
終礼,朝礼
短編,長編
曲筆,直筆
闇夜,月夜
発つ,着く
取れる,付く
実話,作り話
地声,作り声
消す,つける
喚く,呟く
切る,繋ぐ
折々,常々
稀に,常に
偶に,常に
漉し餡,粒餡
夫,妻
振袖,詰袖
梅雨明け,梅雨入り
弱い,強い
高率,低率
反定立,定立
足枷,手枷
味方,敵
与国,敵国
不適切,適切
不適当,適当
不適任,適任
やせ,でぶ
師,弟子
師匠,弟子
先生,弟子
欠格,適格
不適格,適格
看過,摘発
入り口,出口
平ら,凸凹
安定,動揺
西洋医学,東洋医学
先代,当主
異類,同類
近い,遠い
塞ぐ,通す
重要視,度外視
田舎,都会
損,得
度度,時折
度度,時時
共演,独演
合唱,独唱
一般,特殊
普遍,特殊
一般性,特殊性
画一性,多様性
少量,多量
複合,単一
全集,単行本
複式,単式
複雑,単純
長所,短所
長大,短小
鹹水湖,淡水湖
死亡,誕生
寒色,暖色
厳冬,暖冬
複数,単数
執着,断念
長寿,短命
深慮,短慮
曲言,直言
意訳,直訳
反射光,直射光
末子,長子
変化球,直球
直後,直前
半径,直径
間接,直接
曲線,直線
推論,直観
隆起,沈下
発火,鎮火
出火,鎮火
賃借,賃貸
賃貸権,賃借権
興奮,鎮静
新奇,陳腐
浮上,沈没
弱気,強気
弱腰,強腰
弱気筋,強気筋
弱材料,強材料
弱火,強火
弱み,強み
挫ける,貫く
ざらざら,つるつる
連れ出す,連れ込む
人為,天為
地獄,天国
凡才,天才
悪魔,天使
密集,点在
転貸,転借
貪欲,恬淡
実線,点線
転入,転出
革新,伝統
史実,伝説
合成樹脂,天然樹脂
伝受,伝授
地動説,天動説
天佑,天罰
人工,天然
模倣,独創
失点,得点
普通,特別
依存,独立
隷属,独立
従属,独立
失恋,得恋
固まる,溶ける
下山,登山
年下,年上
乱れる,整う
ウエット,ドライ
コミック,トラジック
捨てる,取る
敏感,鈍感
俊足な,鈍足
外,内
外,中
外因,内因
外科,内科
本職,内職
外苑,内苑
外勤,内勤
外径,内径
公示,内示
外在的,内在的
外需,内需
外部,内部
外援,内助
外用,内用
親王な,内親王
安産,難産
硬式,軟式
硬質,軟質
平易,難解
北西,南東
北上,南下
北欧,南欧
東西,南北
北極,南極
古妻,新妻
荷送り,荷受け
得手,苦手
得意に,苦手
出金,入金
出港,入港
落札,入札
退室,入室
退社,入社
退場,入場
除籍,入籍
落選,入選
除隊,入隊
退団,入団
三枚目,二枚目
強制,任意
自然界,人間界
神業ね,人間業
値上げ,値下げ
冷,熱
ポジ,ネガ
ポジティブ,ネガティブ
根明,根暗
馬面,猫面
憎悪,熱愛
冷気,熱気
寒帯,熱帯
不熱心,熱心
退屈,熱中
冷水,熱湯
微温湯,熱湯
諦めるの,粘る
淡,濃
清楚,濃艶
発会,納会
工業,農業
商業,農業
希薄,濃厚
淡白,濃厚
淡彩,濃彩
徴税,納税
宅地,農地
徴収,納入
受動,能動
農閑期,農繁期
受動的,能動的
拙文,能文
早死に,長生き
仲違い,仲直り
茶羽織,長羽織
ボルト,ナット
冬物,夏物
冬木立,夏木立
冬山,夏山
冬日,夏日
怒り肩,撫で肩
苗字,名前
働き者,怠け者
二つ返事,生返事
硬骨,軟骨
寂しい,賑やか
慈しみ,憎しみ
心眼,肉眼
菜食,肉食
草食,肉食
追う,逃げる
一元論,二元論
洋舞,日舞
月食,日食
本物,贋物
一毛作,二毛作
退院,入院
脱会,入会
卒業ぬ,入学
待ち針,縫い針
解く,縫う
刺す,抜く
はめる,抜く
着る,脱ぐ
履く,脱ぐ
被る,脱ぐ
熱燗,温燗
乾く,濡れる
覚める,眠る
起きる,寝る
立ち技,寝技
年少,年長
年末,年始
年末,年頭
訥弁,能弁
沈む,昇る
前々,後々
アブノーマル,ノーマル
先の世,後の世
先程,後程
町中,野中
飼い犬,野良犬
飼い猫,野良猫
てきぱき,のろのろ
せっかち,暢気
フィクションは,ノンフィクション
勝因,敗因
原価,売価
勝軍,敗軍
前景,背景
存続,廃止
存置,廃止
正史,稗史
摂取,排泄
臨書,背臨
出る,入る
追撃,敗走
正面,背面
勝訴,敗訴
利口,莫迦
建設,破壊
持戒,破戒
僅少ひ,莫大
西,東
醜,美
A.D.,B.C.
ヒロイン,ヒーロー
足す,引く
幸運,悲運
加害者,被害者
大袈裟,控え目
日向,日陰
雨傘,日傘
生菓子,干菓子
西風,東風
西側,東側
西日本,東日本
西半球,東半球
影ふ,光
固定給,歩合給
水車,風車
葉書,封書
無風流,風流
減る,増える
インフォーマル,フォーマル
色男,醜男
ピアニシモ,フォルティッシモ
上司,部下
浅い,深い
部内,部外
可逆,不可逆
貧困,富貴
仰角,俯角
確実ふ,不確実
ホワイト企業,ブラック企業
総合,分析
未開,文明
合同,分裂
統一,分裂
開,閉
不穏,平穏
開音節,閉音節
横紋筋,平滑筋
開館,閉館
源氏,平家
初経,閉経
開口,閉口
開校,閉校
開講ほ,閉講
凶,豊
閑,忙
攻,防
忘恩,報恩
暴食,暴飲
節食,暴食
失火,放火
外貨,邦貨
洋楽,邦楽
除外,包含
介入,傍観
防暑,防寒
行使,放棄
保持,放棄
仁君,暴君
直系,傍系
朔月,望月
厚情,薄情
浅学非才,博学多才
青眼,白眼
紅梅,白梅
青票,白票
玄米,白米
付与,剥奪
国産,舶来
怠ける,働く
消滅,発生
赤血球,白血球
受注,発注
誇る,恥じる
吸う,吐く
隠蔽,暴露
高給,薄給
根源的,派生的
当たり,外れ
解熱,発熱
撤兵,派兵
アクティブ,パッシブ
闇,光
避暑,避寒
此岸,彼岸
楽観的,悲観的
断る,引き受ける
足し算,引き算
満ち潮,引き潮
加虐,被虐
エキスパート,ビキナー
貴金属,卑金属
金属,非金属
比丘尼,比丘
高い,低い
可決,否決
微増,微減
公開,非公開
公式,非公式
合理的,非合理的
強烈,微弱
巨視的,微視的
美男,美女
悪女,美女
浅さ,深さ
浅手,深手
可能,不可能
可分,不可分
仰望,俯瞰
仰視,俯瞰
正極,負極
母系,父系
完全,不完全
上機嫌,不機嫌
起訴,不起訴
火急,不急
器用,不器用
主因,副因
禍因,福因
仰臥,伏臥
横臥,伏臥
休学,復学
停学,復学
単眼,複眼
本業,副業
主産物,副産物
抜小路,袋小路
交差,平行
分割,併合
非常,平常
戦時,平時
愕然,平然
山地,平地
山地,平野
開店,閉店
高熱,平熱
微熱,平熱
閏年,平年
開門,閉門
開放,閉鎖
共学,別学
立方根,平方根
非凡,平凡
開幕,閉幕
貴族,平民
曲面,平面
側面図,平面図
立面図,平面図
立体的,平面的
直列,並列
悪臭,芳香
興国,亡国
凶作,豊作
棒下げ,棒上げ
備蓄,放出
飢餓,飽食
外人,邦人
攻戦,防戦
統制,放任
干渉,放任
定住,放浪
代替財,補完財
君,僕
不飽和脂肪酸,飽和脂肪酸
貧弱,豊富
俗名,法名
充電,放電
末尾,冒頭
暴騰,暴落
高騰,暴落
被保険者,保険者
粉雪,牡丹雪
沈黙,発言
停車,発車
受信,発信
廃れる,流行る
アンバランス,バランス
普段着,晴れ着
廉恥,破廉恥
丁,半
衰微,繁栄
倍増,半減
好意,反感
主流派,反主流派
搬出,搬入
常磁性,反磁性
主戦論,反戦論
醜女,美女
哄笑,微笑
露わ,密か
舌禍,筆禍
口述試験,筆記試験
口述,筆述
偶然,必然
蓋然,必然
口答,筆答
不要,必要
世辞,皮肉
肯定,否定
是認,否認
積分,微分
公然,秘密
単式簿記,複式簿記
公平,不公平
合理,不合理
アマ,プロ
反抗,服従
不戦敗,不戦勝
祝儀,不祝儀
上首尾,不首尾
純粋,不純
清浄,不浄
外様,譜代
氷点,沸点
充足,不足
上出来,不出来
筆忠実,筆不精
戦争,平和
オプティミスト,ペシミスト
オプティミズム,ペシミズム
同人,別人
一緒,別々
敬称,蔑称
ライト,ヘビー
ホモ,ヘテロ
博愛,偏愛
没収,返還
正則,変則
不変,変化
遍在,偏在
常事,変事
保父,保母
迫害,保護
自由貿易,保護貿易
恥ずかしい,誇らしい
投手,捕手
革新,保守
父性愛,母性愛
太い,細い
クール,ホット
決定,保留
けなす,褒める
謗る,褒める
興す,滅ぼす
不本意,本意
一朶,万朶
同調,反駁
正比例,反比例
回収,頒布
帰順,反逆
恭順,反逆
漠然,判然
エンデミック,パンデミック
親日,反日
親米,反米
閑散,繁忙
定立,反立
反発,反落
方言,標準語
裏面,表面
不毛,肥沃
悪徳,美徳
閉じる,開く
強力,非力
悪名,美名
極夜,白夜
緩慢,敏捷
福相,貧相
富裕,貧乏
福の神,貧乏神
正当,不当
可変,不変
貧困,富裕
可溶性,不溶性
有利,不利
慇懃,無礼
慇懃講,無礼講
パブリック,プライベート
武官,文官
口語,文語
文末,文頭
集結,分散
常人,変人
下痢,便秘
双務,片務
不便,便利
生前,没後
生年,没年
車道,歩道
牝馬,牡馬
骨細,骨太
保険料,保険金
破格,本格
分家,本家
妾,本妻
奇策,凡策
支店,本店
支流,本流
間道ま,本道
後ろ,前
メジャー,マイナー
プラス,マイナス
隔日,毎日
マジョリティー,マイノリティー
真下,真上
奥歯,前歯
後金,前金
後厄,前厄
ミクロ,マクロ
勝ち,負け
勝ち戦,負け戦
逆夢,正夢
不真面目,真面目
サディズム,マゾヒズム
股下,股上
もうみ,まだ
既,未
恋愛結婚,見合い結婚
見下ろす,見上げる
見つける,見失う
出迎え,見送り
既刊,未刊
左,右
北,南
解決,未解決
完成,未完成
左手,右手
左巻き,右巻き
左四つ,右四つ
既済,未済
長い,短い
マスター,ミストレス
成年む,未成年
今,昔
有意,無意
有縁,無縁
博学,無学
今風,昔風
有期,無期
有機,無機
有機化学,無機化学
有機物,無機物
有給,無給
お喋り,無口
多芸,無芸
有形資産,無形資産
無限小,無限大
有罪,無罪
作為,無作為
常住,無常
有償め,無償
暗,明
悟,迷
愚案,名案
曖昧,明確
暗君,明君
駄犬,名犬
大略,明細
暗示,明示
暗色,明色
不明,明白
実質,名目
実質的,名目的
曖昧,明瞭
目下,目上
牡牛,雌牛
男神,女神
目尻,目頭
男木,女木
メゾフォルテも,メゾピアノ
季夏,孟夏
廃する,設ける
受け付ける,申し込む
季秋,孟秋
季春,孟春
季冬,孟冬
適評,妄評
消える,燃える
モボ,モガ
本試験,模擬試験
目送,目迎
実測,目測
手段,目的
普通税,目的税
供述,黙秘
草本,木本
実物,模型
クラシック,モダン
始祖,末裔
初期,末期
中枢神経,末梢神経
先端,末端
真っ白,真っ黒
真っ青,真っ赤
教える,学ぶ
真夏,真冬
片帆,真帆
悟る,迷う
角,丸
×,○
ざら,まれ
近道,回り道
新月,満月
未了,満了
不満,満足
既設,未設
顕教,密教
既知,未知
既知数,未知数
超過,未満
散在,密集
疎林,密林
既定,未定
実印,認め印
愚案,妙案
拙技,妙技
悪手,妙手
国営,民営
官界,民間
刑事,民事
君主国,民主国
独裁政治,民主政治
封建的,民主的
マキシマム,ミニマム
既納,未納
現物,見本
既収,未収
多趣味,無趣味
神経質,無神経
有神論,無神論
有数,無数
無下,無上
有色,無色
有翅類,無翅類
有職,無職
有人,無人
解く,結ぶ
有性生殖,無性生殖
生物,無生物
脊椎動物,無脊椎動物
有線,無線
博識,無知
有配,無配
多病,無病
貪欲,無欲
強欲,無欲
道理,無理
有料,無料
シミリ,メタファー
地金,鍍金
興隆,滅亡
目の薬,目の毒
ユーザー,メーカー
デメリット,メリット
フィジカル,メンタル
粗雑,綿密
杜撰,綿密
粳米,糯米
鮫肌,餅肌
借り家,持ち家
カラー,モノクロ
バラエティー,モノトニー
ダイアローグ,モノローグ
行く,戻る
物覚え,物忘れ
片恋,諸恋
片手,諸手
片膝,諸膝
片結び,諸結び
片刃,諸刃
片肌,諸肌
インモラル,モラル
専門家,門外漢
識字や,文盲
谷,山
野,山
海,山
朝雨,夜雨
一重,八重
一重桜,八重桜
昼間,夜間
日勤,夜勤
原語,訳語
原文,訳文
倍数,約数
解約,約束
公僕精神,役人根性
昼行性,夜行性
難しい,易しい
厳しい,優しい
家畜,野獣
上物,安物
上宿,安宿
都会的,野性的
知性派,野性派
家禽ゆ,野鳥
劣位,優位
唯心論,唯物論
無意義,有意義
明朗,憂鬱
無益,有益
劣等感,優越感
劣等生,優等生
臆病,勇敢
朝刊,夕刊
無害,有害
冷遇,優遇
無形,有形
無形文化財,有形文化財
無限,有限
敵対,友好
無効,有効
劣等,優秀
劣勢,優勢
劣性,優性
無酸素運動,有酸素運動
無税よ,有税
昼,夜
日暮れ,夜明け
朝嵐,夜嵐
剰員,要員
邦画,洋画
日本画,洋画
花芽,葉芽
羽化,蛹化
成魚,幼魚
和犬,洋犬
和語,洋語
侵害,擁護
根菜類,葉菜類
実子,養子
和紙,洋紙
不養生,養生
天然,養殖
排水,用水
陰性,陽性
不用心,用心
日本酒,洋酒
成虫,幼虫
陰電子ら,陽電子
今期,来期
前期,来期
先期,来期
往者,来者
往訪,来訪
渡航,来航
宅診,来診
及第,落第
発奮,落胆
洛外,洛中
有頂天,落胆
厭世,楽天
厭世的,楽天的
栄達,落魄
存命,落命
常緑樹,落葉樹
悲観,楽観
悲観的,楽観的
忠臣,乱臣
治世,乱世
精巣,卵巣
正反射,乱反射
スモールり,ラージ
現実主義,理想主義
元金,利息
平面,立体
海,陸
座像,立像
プア,リッチ
堪忍,立腹
欠点,利点
損失,利得
詳言,略言
正字,略字
本字,略字
来日,離日
悪妻,良妻
悪性,良性
片手,両手
質的,量的
不良品,良品
固定的,流動的
片面,両面
悪友,良友
悪縁,良縁
与党,野党
太る,痩せる
山女,山男
谷風,山風
谷折り,山折り
海鳴り,山鳴り
沖言葉,山言葉
下町,山の手
海辺,山辺
独り占め,山分け
治る,病む
続ける,止める
寡夫,寡婦
オールド,ヤング
凝固点,融点
不徳,有徳
無毒,有毒
劣等,優等
無能,有能
雌伏,雄飛
貧困,裕福
訥弁,雄弁
絶望,有望
無名,有名
劣悪,優良
不快,愉快
無力,有力
天井,床
床上,床下
輸入,輸出
溶媒,溶質
実父母,養父母
徴兵,傭兵
奨励,抑圧
痩地,沃地
決算,予算
復習,予習
本選,予選
結果,予想
日中,夜中
昼中,夜中
不足分,余分
悲しむ,喜ぶ
強がりり,弱音
アクション,リアクション
ロマンチスト,リアリスト
損失,利益
雅語,俚語
利上げ,利下げ
文科,理科
着岸,離岸
接岸,離岸
鈍器,利器
支点,力点
感情,理性
感情的,理性的
盲目的,理性的
悪質,良質
バッチ処理,リアルタイム処理
支離滅裂,理路整然
実践,理論
実務家,理論家
実践的,理論的
行動派,理論派
トーナメント,リーグ戦
定例,臨時
定期,臨時
経常費,臨時費
常雇い,臨時雇い
基礎医学る,臨床医学
自火,類火
累加,累減
累増,累減
種概念,類概念
反対語,類語
相違,類似
球審,塁審
逆進税,累進税
静止,流転
ストリクト,ルーズ
タイトフィット,ルーズフィット
定住,流浪
在宅,留守
優,劣
肉界,霊界
温血動物,冷血動物
肉体,霊魂
熱血漢,冷血漢
温情家れ,冷血漢
厚遇,冷遇
大企業,零細企業
令嬢,令息
興奮,冷静
温泉,冷泉
熱戦,冷戦
解凍,冷凍
暖房,冷房
薄暮,黎明
親切,冷淡
平服,礼服
スタッカート,レガート
連敗,連勝
オリジナル,レプリカ
連夜,連日
ノンレム睡眠,レム睡眠
読み切り,連載
輪作,連作
断続,連続
単発,連続
間欠的ろ,連続的
ハイ,ロー
節約,浪費
貯蓄,浪費
経営者,労働者
資本家,労働者
悲報,朗報
老婆,老爺
幼稚,老練
悲話,朗話
隠蔽,露見
婉曲,露骨
遮蔽,露出
被覆,露出
ピッチング,ローリング
グローバル,ローカル
実況,録画
ショート,ロング
非論理的わ,論理的
X軸,Y軸
巨躯,矮躯
巨星,矮星
ナロー,ワイド
洋傘,和傘
決裂,和解
離反,和合
洋菓子,和菓子
大旦那,若旦那
洋楽器,和楽器
漢語,和語
古手,若手
洋裁,和裁
老人,若人
幸い,災い
洋算,和算
洋式,和式
洋室,和室
洋書,和書
洋食,和食
晩生,早生
奥手,早生
公事わ,私事
留鳥,渡り鳥
洋風,和風
洋服,和服
欧文,和文
洋本,和本
ハズバンド,ワイフ
泣く,笑う
良い,悪い
彼,我
良さ,悪さ
掛け算,割り算
割安,割高
ベスト,ワースト
湾外,湾内
